addr	block	size
0x7f7DC314fC75658D474DBBfe598EbB058CA6aAcd	9379140	10
0x7f7DC314fC75658D474DBBfe598EbB058CA6aAcd	9529388	100
0x3ac2483105a248b77BDe927cA41A5bbDA968603D	9122212	1
0x3ac2483105a248b77BDe927cA41A5bbDA968603D	9145526	10
0x3ac2483105a248b77BDe927cA41A5bbDA968603D	9122171	0.1
0xA61A8CeC64C404B0050EB3fA3Dd2B4A9C9aE53e7	9122409	1
0xA61A8CeC64C404B0050EB3fA3Dd2B4A9C9aE53e7	9285511	1
0xA61A8CeC64C404B0050EB3fA3Dd2B4A9C9aE53e7	9285513	1
0xA61A8CeC64C404B0050EB3fA3Dd2B4A9C9aE53e7	9285513	1
0xA61A8CeC64C404B0050EB3fA3Dd2B4A9C9aE53e7	9018481	0.1
0xA61A8CeC64C404B0050EB3fA3Dd2B4A9C9aE53e7	9018490	0.1
0xC3f498aEa35d385dc9ca5b3E1F9DBc6Fe3966567	9123484	1
0xC3f498aEa35d385dc9ca5b3E1F9DBc6Fe3966567	9128627	10
0xC3f498aEa35d385dc9ca5b3E1F9DBc6Fe3966567	9133872	10
0xC3f498aEa35d385dc9ca5b3E1F9DBc6Fe3966567	9153764	10
0xC3f498aEa35d385dc9ca5b3E1F9DBc6Fe3966567	9216555	100
0xC3f498aEa35d385dc9ca5b3E1F9DBc6Fe3966567	11217858	0.1
0xDE61987c844bBBfd3267a44bED7C2a0BA9793A34	9123598	1
0xDE61987c844bBBfd3267a44bED7C2a0BA9793A34	9213115	1
0xDE61987c844bBBfd3267a44bED7C2a0BA9793A34	9213139	1
0xDE61987c844bBBfd3267a44bED7C2a0BA9793A34	9213141	1
0xDE61987c844bBBfd3267a44bED7C2a0BA9793A34	9213146	1
0xbdf6E91249c335ddf3F656c465326A69C13e1eB0	9124717	1
0xbdf6E91249c335ddf3F656c465326A69C13e1eB0	9164408	1
0xbdf6E91249c335ddf3F656c465326A69C13e1eB0	9172237	1
0xbdf6E91249c335ddf3F656c465326A69C13e1eB0	9187070	1
0xbdf6E91249c335ddf3F656c465326A69C13e1eB0	9188523	1
0xbdf6E91249c335ddf3F656c465326A69C13e1eB0	9204407	10
0xbdf6E91249c335ddf3F656c465326A69C13e1eB0	9204755	10
0xbdf6E91249c335ddf3F656c465326A69C13e1eB0	9323702	10
0xbdf6E91249c335ddf3F656c465326A69C13e1eB0	9454396	10
0xbdf6E91249c335ddf3F656c465326A69C13e1eB0	9962432	10
0xbdf6E91249c335ddf3F656c465326A69C13e1eB0	10317550	10
0xbdf6E91249c335ddf3F656c465326A69C13e1eB0	10391262	10
0xbdf6E91249c335ddf3F656c465326A69C13e1eB0	10402945	10
0xbdf6E91249c335ddf3F656c465326A69C13e1eB0	10741195	10
0xbdf6E91249c335ddf3F656c465326A69C13e1eB0	9474478	0.1
0xDF069cF635d45C47662434e50A0Cac3173A2394C	9125641	1
0x9999999e2f76ed42E6B1A4EefD0Fd472790Fa1A5	9126605	1
0x9999999e2f76ed42E6B1A4EefD0Fd472790Fa1A5	8705469	0.1
0x9999999e2f76ed42E6B1A4EefD0Fd472790Fa1A5	8990213	0.1
0x9999999e2f76ed42E6B1A4EefD0Fd472790Fa1A5	8990251	0.1
0x9999999e2f76ed42E6B1A4EefD0Fd472790Fa1A5	9044021	0.1
0x9999999e2f76ed42E6B1A4EefD0Fd472790Fa1A5	9044029	0.1
0x0014971DBA5b1481296E6ABdD7234b0d8474BB8C	9126885	1
0x0014971DBA5b1481296E6ABdD7234b0d8474BB8C	10240258	1
0x0014971DBA5b1481296E6ABdD7234b0d8474BB8C	9126903	10
0x6D9d708278877d474319e63b08F8B7440774D720	9126894	1
0x6D9d708278877d474319e63b08F8B7440774D720	9124304	10
0x6D9d708278877d474319e63b08F8B7440774D720	8531137	0.1
0x6dd2ecA4959a8D2E1ef9d6a6463e29750014Ab49	9127241	1
0x6dd2ecA4959a8D2E1ef9d6a6463e29750014Ab49	9124615	0.1
0xB435871B0959561226b4d903b1abf79528177E81	9127268	1
0xB435871B0959561226b4d903b1abf79528177E81	9160958	1
0xB435871B0959561226b4d903b1abf79528177E81	9190325	1
0xB435871B0959561226b4d903b1abf79528177E81	9357534	1
0xB435871B0959561226b4d903b1abf79528177E81	9357954	1
0xB435871B0959561226b4d903b1abf79528177E81	9363985	1
0xB435871B0959561226b4d903b1abf79528177E81	9734714	1
0xB435871B0959561226b4d903b1abf79528177E81	9751465	1
0xB435871B0959561226b4d903b1abf79528177E81	10032070	1
0xB435871B0959561226b4d903b1abf79528177E81	10266349	1
0xB435871B0959561226b4d903b1abf79528177E81	9128215	10
0xB435871B0959561226b4d903b1abf79528177E81	9160950	10
0xB435871B0959561226b4d903b1abf79528177E81	11124987	10
0xB435871B0959561226b4d903b1abf79528177E81	11073190	100
0xB435871B0959561226b4d903b1abf79528177E81	11073978	100
0xB435871B0959561226b4d903b1abf79528177E81	11082216	100
0xB435871B0959561226b4d903b1abf79528177E81	11088797	100
0xB435871B0959561226b4d903b1abf79528177E81	11115696	100
0xB435871B0959561226b4d903b1abf79528177E81	11115717	100
0xB435871B0959561226b4d903b1abf79528177E81	11118317	100
0xB435871B0959561226b4d903b1abf79528177E81	11118329	100
0xB435871B0959561226b4d903b1abf79528177E81	9228335	0.1
0xB435871B0959561226b4d903b1abf79528177E81	9228348	0.1
0xB435871B0959561226b4d903b1abf79528177E81	9298059	0.1
0xB435871B0959561226b4d903b1abf79528177E81	9338039	0.1
0xB435871B0959561226b4d903b1abf79528177E81	9670986	0.1
0xB435871B0959561226b4d903b1abf79528177E81	9671452	0.1
0xB435871B0959561226b4d903b1abf79528177E81	9773988	0.1
0xB435871B0959561226b4d903b1abf79528177E81	9858793	0.1
0xB435871B0959561226b4d903b1abf79528177E81	9865582	0.1
0xB435871B0959561226b4d903b1abf79528177E81	9873270	0.1
0xB435871B0959561226b4d903b1abf79528177E81	9989120	0.1
0xB435871B0959561226b4d903b1abf79528177E81	10012848	0.1
0xB435871B0959561226b4d903b1abf79528177E81	10093149	0.1
0xB435871B0959561226b4d903b1abf79528177E81	10266341	0.1
0xB435871B0959561226b4d903b1abf79528177E81	10266397	0.1
0xB435871B0959561226b4d903b1abf79528177E81	8285178	0.1
0xB435871B0959561226b4d903b1abf79528177E81	8296443	0.1
0xB435871B0959561226b4d903b1abf79528177E81	8325109	0.1
0xB435871B0959561226b4d903b1abf79528177E81	8347472	0.1
0xB435871B0959561226b4d903b1abf79528177E81	8643491	0.1
0xB435871B0959561226b4d903b1abf79528177E81	8650040	0.1
0xB435871B0959561226b4d903b1abf79528177E81	8676067	0.1
0xB435871B0959561226b4d903b1abf79528177E81	8885757	0.1
0x2647a18DEB7153deb82a4488f66180f7688b97E2	9128107	1
0x2647a18DEB7153deb82a4488f66180f7688b97E2	9128138	1
0x2647a18DEB7153deb82a4488f66180f7688b97E2	9128140	1
0x2647a18DEB7153deb82a4488f66180f7688b97E2	9127923	0.1
0xcCaF08555354630f81ff6102714ea27E713956fb	9128164	1
0xcCaF08555354630f81ff6102714ea27E713956fb	9128169	1
0xcCaF08555354630f81ff6102714ea27E713956fb	9128178	1
0xcCaF08555354630f81ff6102714ea27E713956fb	9128179	1
0xa328500Eab25698b8b146D195F35f5b26C93AAEe	9128213	1
0xa328500Eab25698b8b146D195F35f5b26C93AAEe	9580726	1
0xa328500Eab25698b8b146D195F35f5b26C93AAEe	9634192	1
0xa328500Eab25698b8b146D195F35f5b26C93AAEe	9634196	1
0xa328500Eab25698b8b146D195F35f5b26C93AAEe	9634367	1
0xa328500Eab25698b8b146D195F35f5b26C93AAEe	9128226	0.1
0xa328500Eab25698b8b146D195F35f5b26C93AAEe	9634179	0.1
0xa328500Eab25698b8b146D195F35f5b26C93AAEe	9634182	0.1
0xa328500Eab25698b8b146D195F35f5b26C93AAEe	9634186	0.1
0xa328500Eab25698b8b146D195F35f5b26C93AAEe	9634192	0.1
0xa328500Eab25698b8b146D195F35f5b26C93AAEe	9634192	0.1
0x003F6b20BFA4B5cAb701960eCF73859Cb3c095Fc	9128442	1
0x5975572A86B97f5D0bF17729C1491F848f210334	9129548	1
0x5975572A86B97f5D0bF17729C1491F848f210334	9131648	10
0x5975572A86B97f5D0bF17729C1491F848f210334	9132040	10
0x1b44d7dCc0Daa47f3F01C5Ca520f4B32D42dcC3A	9130550	1
0x1b44d7dCc0Daa47f3F01C5Ca520f4B32D42dcC3A	9345361	0.1
0x1b44d7dCc0Daa47f3F01C5Ca520f4B32D42dcC3A	8386918	0.1
0x51940F5F8eB0bf150eDD0Bc00067d8DAbDB16BD6	9131587	1
0x51940F5F8eB0bf150eDD0Bc00067d8DAbDB16BD6	9299753	1
0x51940F5F8eB0bf150eDD0Bc00067d8DAbDB16BD6	9299753	1
0x51940F5F8eB0bf150eDD0Bc00067d8DAbDB16BD6	9299753	1
0x51940F5F8eB0bf150eDD0Bc00067d8DAbDB16BD6	9299753	1
0x51940F5F8eB0bf150eDD0Bc00067d8DAbDB16BD6	9299761	1
0x51940F5F8eB0bf150eDD0Bc00067d8DAbDB16BD6	9299762	1
0x51940F5F8eB0bf150eDD0Bc00067d8DAbDB16BD6	9299762	1
0x51940F5F8eB0bf150eDD0Bc00067d8DAbDB16BD6	9299762	1
0x51940F5F8eB0bf150eDD0Bc00067d8DAbDB16BD6	9162625	10
0x51940F5F8eB0bf150eDD0Bc00067d8DAbDB16BD6	9162632	10
0x51940F5F8eB0bf150eDD0Bc00067d8DAbDB16BD6	9162638	10
0x51940F5F8eB0bf150eDD0Bc00067d8DAbDB16BD6	9162638	10
0x51940F5F8eB0bf150eDD0Bc00067d8DAbDB16BD6	9162642	10
0x51940F5F8eB0bf150eDD0Bc00067d8DAbDB16BD6	9166292	10
0x51940F5F8eB0bf150eDD0Bc00067d8DAbDB16BD6	9166296	10
0x51940F5F8eB0bf150eDD0Bc00067d8DAbDB16BD6	9166296	10
0x51940F5F8eB0bf150eDD0Bc00067d8DAbDB16BD6	9299762	10
0x51940F5F8eB0bf150eDD0Bc00067d8DAbDB16BD6	9299762	10
0x51940F5F8eB0bf150eDD0Bc00067d8DAbDB16BD6	9299768	10
0x51940F5F8eB0bf150eDD0Bc00067d8DAbDB16BD6	9299768	10
0x51940F5F8eB0bf150eDD0Bc00067d8DAbDB16BD6	9299768	10
0x51940F5F8eB0bf150eDD0Bc00067d8DAbDB16BD6	10369397	10
0x51940F5F8eB0bf150eDD0Bc00067d8DAbDB16BD6	10381660	10
0x51940F5F8eB0bf150eDD0Bc00067d8DAbDB16BD6	9162622	100
0x51940F5F8eB0bf150eDD0Bc00067d8DAbDB16BD6	9131600	0.1
0x51940F5F8eB0bf150eDD0Bc00067d8DAbDB16BD6	9131604	0.1
0x51940F5F8eB0bf150eDD0Bc00067d8DAbDB16BD6	9131612	0.1
0x51940F5F8eB0bf150eDD0Bc00067d8DAbDB16BD6	9131613	0.1
0x51940F5F8eB0bf150eDD0Bc00067d8DAbDB16BD6	9131615	0.1
0x51940F5F8eB0bf150eDD0Bc00067d8DAbDB16BD6	9131664	0.1
0x51940F5F8eB0bf150eDD0Bc00067d8DAbDB16BD6	9131666	0.1
0x51940F5F8eB0bf150eDD0Bc00067d8DAbDB16BD6	9131668	0.1
0x51940F5F8eB0bf150eDD0Bc00067d8DAbDB16BD6	9131672	0.1
0x51940F5F8eB0bf150eDD0Bc00067d8DAbDB16BD6	9162616	0.1
0x51940F5F8eB0bf150eDD0Bc00067d8DAbDB16BD6	9299696	0.1
0x51940F5F8eB0bf150eDD0Bc00067d8DAbDB16BD6	9299705	0.1
0x51940F5F8eB0bf150eDD0Bc00067d8DAbDB16BD6	9299705	0.1
0x51940F5F8eB0bf150eDD0Bc00067d8DAbDB16BD6	9299705	0.1
0x51940F5F8eB0bf150eDD0Bc00067d8DAbDB16BD6	9299707	0.1
0x51940F5F8eB0bf150eDD0Bc00067d8DAbDB16BD6	9299727	0.1
0x51940F5F8eB0bf150eDD0Bc00067d8DAbDB16BD6	9299729	0.1
0x51940F5F8eB0bf150eDD0Bc00067d8DAbDB16BD6	9299729	0.1
0x51940F5F8eB0bf150eDD0Bc00067d8DAbDB16BD6	9299744	0.1
0x51940F5F8eB0bf150eDD0Bc00067d8DAbDB16BD6	9299746	0.1
0x51940F5F8eB0bf150eDD0Bc00067d8DAbDB16BD6	9299746	0.1
0x51940F5F8eB0bf150eDD0Bc00067d8DAbDB16BD6	8993236	0.1
0x51940F5F8eB0bf150eDD0Bc00067d8DAbDB16BD6	8999968	0.1
0x9C2B5E0cd01Ba9c2B2e5CBd1C689c7ADae38A4b9	9131615	1
0x9C2B5E0cd01Ba9c2B2e5CBd1C689c7ADae38A4b9	9088303	0.1
0x9C2B5E0cd01Ba9c2B2e5CBd1C689c7ADae38A4b9	9094167	0.1
0x14c90b59F95B9405113Dfedbae88fDD20C29ee36	9136081	1
0x14c90b59F95B9405113Dfedbae88fDD20C29ee36	9122477	10
0x14c90b59F95B9405113Dfedbae88fDD20C29ee36	9209432	10
0x14c90b59F95B9405113Dfedbae88fDD20C29ee36	10414035	10
0x14c90b59F95B9405113Dfedbae88fDD20C29ee36	10693158	10
0x3B01EA5C27FeEba0F8e65C9c2C9C3d8B44e0FF35	9136519	1
0x3B01EA5C27FeEba0F8e65C9c2C9C3d8B44e0FF35	8311603	0.1
0xd8c96BF7c109b62d920254870192648B060aa0DA	9137214	1
0x0fC509F0c44b212c1342333a52Ed3ebED889290D	9140649	1
0x0fC509F0c44b212c1342333a52Ed3ebED889290D	9116240	0.1
0x00812076E9460d60E7F9af956cBDA17Ac64eEAA2	9141429	1
0x942242BD77A92EEcc8BF8216e49ED8EF7f4817DF	9142207	1
0x942242BD77A92EEcc8BF8216e49ED8EF7f4817DF	9177599	1
0x942242BD77A92EEcc8BF8216e49ED8EF7f4817DF	9142183	0.1
0x51932a7C302b9f9d5C0ff75359A128b70395b338	9146776	1
0x51932a7C302b9f9d5C0ff75359A128b70395b338	9187020	0.1
0x51932a7C302b9f9d5C0ff75359A128b70395b338	8480596	0.1
0x7d92aa8E261F36A3BCA0F06659C5E0424f8EDB76	9146948	1
0x7d92aa8E261F36A3BCA0F06659C5E0424f8EDB76	9284884	1
0x433054c3E5d1AB5Def23eBDC5aDa39941C3e2C0e	9148275	1
0x433054c3E5d1AB5Def23eBDC5aDa39941C3e2C0e	9148276	1
0x433054c3E5d1AB5Def23eBDC5aDa39941C3e2C0e	9148277	1
0x433054c3E5d1AB5Def23eBDC5aDa39941C3e2C0e	9148282	1
0x433054c3E5d1AB5Def23eBDC5aDa39941C3e2C0e	9137099	10
0x2EC84B79eff68b00fEe26Aa2eD1DfDd62C6960dd	9149558	1
0xF5caDBAf94F512Aa1FdB6E5662E31b94504316FA	9150423	1
0xF5caDBAf94F512Aa1FdB6E5662E31b94504316FA	9150426	1
0xF5caDBAf94F512Aa1FdB6E5662E31b94504316FA	9150426	0.1
0x41E06931E14c09ab705A3fAC97D0F865096f1Fe9	9151411	1
0x41E06931E14c09ab705A3fAC97D0F865096f1Fe9	9151437	1
0x41E06931E14c09ab705A3fAC97D0F865096f1Fe9	9152129	1
0x41E06931E14c09ab705A3fAC97D0F865096f1Fe9	9152135	1
0x41E06931E14c09ab705A3fAC97D0F865096f1Fe9	9152139	1
0x41E06931E14c09ab705A3fAC97D0F865096f1Fe9	9420031	1
0x41E06931E14c09ab705A3fAC97D0F865096f1Fe9	9420035	1
0x41E06931E14c09ab705A3fAC97D0F865096f1Fe9	9151376	0.1
0x7D47ee7F8F4A7DAFA26006c6B7D390bcd16f3CFb	9151795	1
0x02bFE1c6A7D246e84D026086413923E503264901	9152228	1
0x54CD85c9a1f15572295dB7Df2A361b74Ebf93FD8	9155432	1
0x33A316107f71909b7d638F7dd40713c8bbE2D684	9155462	1
0x33A316107f71909b7d638F7dd40713c8bbE2D684	9162231	1
0x33A316107f71909b7d638F7dd40713c8bbE2D684	9947887	10
0x33A316107f71909b7d638F7dd40713c8bbE2D684	9955830	10
0x33A316107f71909b7d638F7dd40713c8bbE2D684	9955845	10
0x33A316107f71909b7d638F7dd40713c8bbE2D684	9955890	10
0x33A316107f71909b7d638F7dd40713c8bbE2D684	9967519	10
0x33A316107f71909b7d638F7dd40713c8bbE2D684	9967927	10
0x33A316107f71909b7d638F7dd40713c8bbE2D684	9974027	10
0x33A316107f71909b7d638F7dd40713c8bbE2D684	9981061	10
0x33A316107f71909b7d638F7dd40713c8bbE2D684	9985345	10
0x33A316107f71909b7d638F7dd40713c8bbE2D684	9985345	10
0x33A316107f71909b7d638F7dd40713c8bbE2D684	9917982	0.1
0x037F91ab7D10359c707628219302ffb1F30e1a1C	9156626	1
0x037F91ab7D10359c707628219302ffb1F30e1a1C	9203494	1
0x037F91ab7D10359c707628219302ffb1F30e1a1C	9288433	1
0x037F91ab7D10359c707628219302ffb1F30e1a1C	9288441	1
0x037F91ab7D10359c707628219302ffb1F30e1a1C	9288481	1
0x037F91ab7D10359c707628219302ffb1F30e1a1C	9288504	0.1
0x037F91ab7D10359c707628219302ffb1F30e1a1C	9288520	0.1
0x037F91ab7D10359c707628219302ffb1F30e1a1C	9465964	0.1
0x037F91ab7D10359c707628219302ffb1F30e1a1C	9465975	0.1
0x037F91ab7D10359c707628219302ffb1F30e1a1C	9465975	0.1
0x4E06ec045A1E0d66fF11321b6584EF8513eb2B12	9156754	1
0x4E06ec045A1E0d66fF11321b6584EF8513eb2B12	9156755	1
0x4E06ec045A1E0d66fF11321b6584EF8513eb2B12	9156756	10
0x4E06ec045A1E0d66fF11321b6584EF8513eb2B12	9156745	0.1
0x4E06ec045A1E0d66fF11321b6584EF8513eb2B12	9156764	0.1
0xbE66171728f29D45e8C9Ad9c280F457cFC776AC7	9160056	1
0x31D81d526C195E3f10B5C6DB52b5e59aFBe0A995	9164953	1
0x31D81d526C195E3f10B5C6DB52b5e59aFBe0A995	9165133	1
0x79D7a8159406871Df836725f5d45177e6da68E52	9169915	1
0x3910EAc5bb3994e5669F7281dA3253d571D12005	9171604	1
0xfa396090B4dfD2bd86bbf6de63635d6E390b5dE1	9171664	1
0x87F8DC0095d4D02612Df60d445Af17776c82b969	9174981	1
0x4b8d9b2F01048FA9B41C0679f83AC39BcFe8DE4c	9175194	1
0x394c0cbDf12f687D33F53E898D881B73870bB982	9176658	1
0x394c0cbDf12f687D33F53E898D881B73870bB982	9176666	1
0x7F46BB25460dD7DAE4211Ca7f15ad312Fc7Dc75C	9176683	1
0x7F46BB25460dD7DAE4211Ca7f15ad312Fc7Dc75C	9151791	0.1
0x7F46BB25460dD7DAE4211Ca7f15ad312Fc7Dc75C	9176683	0.1
0xB631651cB570bA0C0D696bD5E4860cbD214f20a0	9176852	1
0xB631651cB570bA0C0D696bD5E4860cbD214f20a0	9287305	10
0xB631651cB570bA0C0D696bD5E4860cbD214f20a0	9332529	10
0xB631651cB570bA0C0D696bD5E4860cbD214f20a0	9332533	10
0xB631651cB570bA0C0D696bD5E4860cbD214f20a0	9332559	10
0xB631651cB570bA0C0D696bD5E4860cbD214f20a0	10673353	100
0xB631651cB570bA0C0D696bD5E4860cbD214f20a0	10719758	100
0xB631651cB570bA0C0D696bD5E4860cbD214f20a0	10720345	100
0xB631651cB570bA0C0D696bD5E4860cbD214f20a0	10894427	100
0xB631651cB570bA0C0D696bD5E4860cbD214f20a0	10894505	100
0xB631651cB570bA0C0D696bD5E4860cbD214f20a0	10894536	100
0xB631651cB570bA0C0D696bD5E4860cbD214f20a0	10894536	100
0xB631651cB570bA0C0D696bD5E4860cbD214f20a0	10894542	100
0xB631651cB570bA0C0D696bD5E4860cbD214f20a0	10894573	100
0xB631651cB570bA0C0D696bD5E4860cbD214f20a0	10894575	100
0xB631651cB570bA0C0D696bD5E4860cbD214f20a0	10935728	100
0xB631651cB570bA0C0D696bD5E4860cbD214f20a0	10935734	100
0xB631651cB570bA0C0D696bD5E4860cbD214f20a0	10935735	100
0xB631651cB570bA0C0D696bD5E4860cbD214f20a0	10935738	100
0xB631651cB570bA0C0D696bD5E4860cbD214f20a0	10935741	100
0xB631651cB570bA0C0D696bD5E4860cbD214f20a0	10935747	100
0xB631651cB570bA0C0D696bD5E4860cbD214f20a0	9221544	0.1
0xB631651cB570bA0C0D696bD5E4860cbD214f20a0	9221563	0.1
0xB631651cB570bA0C0D696bD5E4860cbD214f20a0	9332517	0.1
0xB631651cB570bA0C0D696bD5E4860cbD214f20a0	9332518	0.1
0xB631651cB570bA0C0D696bD5E4860cbD214f20a0	9332518	0.1
0xbD0BE04798b10BEDb2B1C280DEA5E1Be02fEddE4	9177288	1
0x0c7e03cbCb47c3D8B7d38291413dC8307E038D81	9177306	1
0x3a29e208600227E81a13042D9694438251D6F23A	9178927	1
0xD78CC2b4f587a94F23E2F1de0C35045717aC077c	9180954	1
0x297BF847Dcb01f3e870515628b36EAbad491e5E8	9181733	1
0x297BF847Dcb01f3e870515628b36EAbad491e5E8	9602942	1
0x297BF847Dcb01f3e870515628b36EAbad491e5E8	9829404	1
0x297BF847Dcb01f3e870515628b36EAbad491e5E8	10015548	1
0x297BF847Dcb01f3e870515628b36EAbad491e5E8	10078745	1
0x297BF847Dcb01f3e870515628b36EAbad491e5E8	10139120	1
0x297BF847Dcb01f3e870515628b36EAbad491e5E8	10146585	1
0x297BF847Dcb01f3e870515628b36EAbad491e5E8	10615946	1
0x297BF847Dcb01f3e870515628b36EAbad491e5E8	10020935	10
0xFf5aDa0f9C68057F46a9da5de0ac2Fb62922F907	9182052	1
0xFf5aDa0f9C68057F46a9da5de0ac2Fb62922F907	9182318	10
0xFf5aDa0f9C68057F46a9da5de0ac2Fb62922F907	9182366	10
0xFf5aDa0f9C68057F46a9da5de0ac2Fb62922F907	9183302	10
0xFf5aDa0f9C68057F46a9da5de0ac2Fb62922F907	9184309	0.1
0x855328Ee5E94924cB83b267F25A513C2a2fC3E5E	9182141	1
0x855328Ee5E94924cB83b267F25A513C2a2fC3E5E	9918748	1
0x855328Ee5E94924cB83b267F25A513C2a2fC3E5E	10402403	1
0x855328Ee5E94924cB83b267F25A513C2a2fC3E5E	10402407	1
0x855328Ee5E94924cB83b267F25A513C2a2fC3E5E	10402415	1
0x855328Ee5E94924cB83b267F25A513C2a2fC3E5E	10730961	1
0x855328Ee5E94924cB83b267F25A513C2a2fC3E5E	10053776	10
0x855328Ee5E94924cB83b267F25A513C2a2fC3E5E	10053784	10
0x855328Ee5E94924cB83b267F25A513C2a2fC3E5E	10402453	10
0x855328Ee5E94924cB83b267F25A513C2a2fC3E5E	8947668	0.1
0x855328Ee5E94924cB83b267F25A513C2a2fC3E5E	8949347	0.1
0xfC778FCf3A159F2Ef4b9c32f2A05557597955520	9182858	1
0xc7CE2b993891a0b5cB55B8470d0A27F6FC1c0287	9184093	1
0xc7CE2b993891a0b5cB55B8470d0A27F6FC1c0287	8979825	0.1
0x7Ce1b91F5fde86951cD4641ea29D53F65CfDe96c	9184234	1
0x0d807d0cA70448078220eFA878d43f61bce3A5c3	9184764	1
0x0d807d0cA70448078220eFA878d43f61bce3A5c3	9184771	1
0x0d807d0cA70448078220eFA878d43f61bce3A5c3	9527084	1
0x0d807d0cA70448078220eFA878d43f61bce3A5c3	9527096	1
0x0d807d0cA70448078220eFA878d43f61bce3A5c3	9841150	1
0x0d807d0cA70448078220eFA878d43f61bce3A5c3	9858108	1
0x0d807d0cA70448078220eFA878d43f61bce3A5c3	10396549	1
0x0d807d0cA70448078220eFA878d43f61bce3A5c3	10396562	1
0x0d807d0cA70448078220eFA878d43f61bce3A5c3	10396577	1
0x0d807d0cA70448078220eFA878d43f61bce3A5c3	10396594	1
0x0d807d0cA70448078220eFA878d43f61bce3A5c3	10396605	1
0x0d807d0cA70448078220eFA878d43f61bce3A5c3	10396640	1
0x0d807d0cA70448078220eFA878d43f61bce3A5c3	9175714	10
0x0d807d0cA70448078220eFA878d43f61bce3A5c3	9182686	10
0x0d807d0cA70448078220eFA878d43f61bce3A5c3	9182692	10
0x0d807d0cA70448078220eFA878d43f61bce3A5c3	9792980	10
0x0d807d0cA70448078220eFA878d43f61bce3A5c3	9804779	10
0x0d807d0cA70448078220eFA878d43f61bce3A5c3	9814187	10
0x0d807d0cA70448078220eFA878d43f61bce3A5c3	9828613	10
0x0d807d0cA70448078220eFA878d43f61bce3A5c3	9834486	10
0x0d807d0cA70448078220eFA878d43f61bce3A5c3	9841005	10
0x0d807d0cA70448078220eFA878d43f61bce3A5c3	9221287	0.1
0x0d807d0cA70448078220eFA878d43f61bce3A5c3	9276644	0.1
0x0d807d0cA70448078220eFA878d43f61bce3A5c3	9786391	0.1
0x0d807d0cA70448078220eFA878d43f61bce3A5c3	9786409	0.1
0x0d807d0cA70448078220eFA878d43f61bce3A5c3	9786418	0.1
